lam,r,g,b,a,c,l
463,0.000E+00,8.816E-04,3.779E-01,1.477E-02,7.121E-02,1.827E-02
464,0.000E+00,1.028E-03,3.394E-01,1.406E-02,8.050E-02,1.743E-02
465,0.000E+00,1.179E-03,3.052E-01,1.335E-02,9.090E-02,1.671E-02
466,0.000E+00,1.345E-03,2.746E-01,1.266E-02,1.024E-01,1.610E-02
467,0.000E+00,1.535E-03,2.471E-01,1.199E-02,1.149E-01,1.557E-02
468,0.000E+00,1.755E-03,2.222E-01,1.135E-02,1.285E-01,1.513E-02
469,0.000E+00,2.010E-03,1.997E-01,1.077E-02,1.434E-01,1.480E-02
470,0.000E+00,2.307E-03,1.793E-01,1.024E-02,1.595E-01,1.456E-02
471,0.000E+00,2.654E-03,1.610E-01,9.762E-03,1.764E-01,1.439E-02
472,0.000E+00,3.059E-03,1.444E-01,9.331E-03,1.941E-01,1.431E-02
473,0.000E+00,3.534E-03,1.293E-01,8.962E-03,2.129E-01,1.427E-02
474,0.000E+00,4.081E-03,1.154E-01,8.645E-03,2.322E-01,1.430E-02
475,0.000E+00,4.704E-03,1.030E-01,8.370E-03,2.517E-01,1.441E-02
476,0.000E+00,5.408E-03,9.182E-02,8.129E-03,2.710E-01,1.459E-02
477,0.000E+00,6.183E-03,8.181E-02,7.909E-03,2.899E-01,1.484E-02
478,0.000E+00,7.045E-03,7.289E-02,7.710E-03,3.080E-01,1.517E-02
479,0.000E+00,8.014E-03,6.497E-02,7.537E-03,3.249E-01,1.561E-02
480,0.000E+00,9.103E-03,5.795E-02,7.390E-03,3.402E-01,1.618E-02
481,0.000E+00,1.032E-02,5.172E-02,7.263E-03,3.531E-01,1.688E-02
482,0.000E+00,1.169E-02,4.620E-02,7.158E-03,3.635E-01,1.773E-02
483,0.000E+00,1.322E-02,4.134E-02,7.083E-03,3.715E-01,1.875E-02
484,0.000E+00,1.491E-02,3.705E-02,7.040E-03,3.770E-01,1.996E-02
485,0.000E+00,1.679E-02,3.322E-02,7.032E-03,3.792E-01,2.136E-02
486,0.000E+00,1.887E-02,2.979E-02,7.062E-03,3.783E-01,2.298E-02
487,0.000E+00,2.114E-02,2.675E-02,7.134E-03,3.749E-01,2.483E-02
488,0.000E+00,2.364E-02,2.408E-02,7.250E-03,3.691E-01,2.693E-02
489,0.000E+00,2.635E-02,2.169E-02,7.418E-03,3.610E-01,2.929E-02
490,0.000E+00,2.929E-02,1.956E-02,7.640E-03,3.509E-01,3.192E-02
491,0.000E+00,3.248E-02,1.768E-02,7.911E-03,3.392E-01,3.486E-02
492,0.000E+00,3.593E-02,1.602E-02,8.231E-03,3.262E-01,3.811E-02
493,0.000E+00,3.967E-02,1.453E-02,8.599E-03,3.124E-01,4.171E-02
494,0.000E+00,4.370E-02,1.318E-02,9.016E-03,2.982E-01,4.567E-02
495,0.000E+00,4.803E-02,1.199E-02,9.486E-03,2.835E-01,5.000E-02
496,0.000E+00,5.266E-02,1.094E-02,1.001E-02,2.687E-01,5.469E-02
497,0.000E+00,5.763E-02,1.001E-02,1.060E-02,2.541E-01,5.978E-02
498,0.000E+00,6.296E-02,9.181E-03,1.126E-02,2.400E-01,6.529E-02
499,0.000E+00,6.858E-02,8.450E-03,1.197E-02,2.263E-01,7.115E-02
500,0.000E+00,7.449E-02,7.799E-03,1.274E-02,2.129E-01,7.735E-02
501,0.000E+00,8.069E-02,7.208E-03,1.357E-02,2.000E-01,8.390E-02
502,0.000E+00,8.718E-02,6.662E-03,1.445E-02,1.877E-01,9.078E-02
503,0.000E+00,9.386E-02,6.167E-03,1.538E-02,1.760E-01,9.792E-02
504,0.000E+00,1.007E-01,5.720E-03,1.636E-02,1.647E-01,1.053E-01
505,0.000E+00,1.077E-01,5.314E-03,1.738E-02,1.540E-01,1.128E-01
506,0.000E+00,1.149E-01,4.943E-03,1.845E-02,1.437E-01,1.205E-01
507,0.000E+00,1.220E-01,4.604E-03,1.955E-02,1.340E-01,1.282E-01
508,0.000E+00,1.291E-01,4.292E-03,2.068E-02,1.247E-01,1.360E-01
